,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
49,Alice Springs,0,AU,1563893984,34,-23.7,133.88,48.2,6.93
50,Severo-Kurilsk,100,RU,1563894197,91,50.68,156.12,46.17,3.6
51,Karratha,84,AU,1563894197,66,-20.74,116.85,63.99,10.8
54,Severo-Yeniseyskiy,0,RU,1563894198,92,60.37,93.04,55.17,2.13
56,Port Elizabeth,90,US,1563894198,83,39.31,-74.98,73.99,10.29
57,Hobart,40,AU,1563894198,92,-42.88,147.33,44.6,12.75
58,Tasiilaq,40,GL,1563894199,70,65.61,-37.64,46.4,23.04
59,Maputo,0,MZ,1563894172,17,-25.97,32.57,84.2,14.99
60,Kodiak,1,US,1563894199,68,39.95,-94.76,72,5.82
61,Deyang,0,CN,1563894199,94,31.12,104.39,82,2.37
62,Albany,90,US,1563894023,77,42.65,-73.75,70,5.82
63,Rikitea,100,PF,1563894200,76,-23.12,-134.97,69.03,16.96
64,Manadhoo,69,MV,1563894198,75,5.77,73.38,83.25,13.2
65,Maniitsoq,0,GL,1563894200,80,65.42,-52.9,47.25,7.27
66,San Andres,92,PH,1563893901,92,13.32,122.68,76.23,1.63
67,Lompoc,90,US,1563894200,100,34.64,-120.46,64,5.95
69,Kandrian,100,PG,1563894201,91,-6.21,149.55,73.35,9.4
70,Beausejour,5,CA,1563894201,77,50.06,-96.51,73.99,4.7
71,Atuona,8,PF,1563894201,76,-9.8,-139.03,79.83,16.17
72,Saint-Philippe,1,CA,1563894201,53,45.36,-73.48,75.99,3.36
73,Pevek,100,RU,1563894202,95,69.7,170.27,30.33,11.79
74,Radnevo,75,BG,1563894199,61,42.29,25.93,78.8,20.8
75,Sao Filipe,8,CV,1563894202,82,14.9,-24.5,74.97,21.16
76,Alyangula,0,AU,1563894202,88,-13.85,136.42,66.2,3.36
77,Husavik,0,CA,1563894202,63,50.56,-96.99,75,5.01
78,Huarmey,100,PE,1563894116,85,-10.07,-78.15,62.55,15.82
79,Chokurdakh,100,RU,1563894203,64,70.62,147.9,47.97,14.18
80,Coquimbo,20,CL,1563894037,62,-29.95,-71.34,51.8,6.93
81,Sola,45,TZ,1563894203,22,-3.17,33.8,82.53,4.9
83,Kulu,47,CD,1563894203,60,3.47,23.69,82.35,3.65
84,Wanning,20,AT,1563894204,33,48.64,13.53,89.01,3.36
85,Gobabis,0,NA,1563894204,8,-22.45,18.97,80.6,8.05
86,Mandalgovi,1,MN,1563894204,73,45.76,106.27,62.19,7.54
87,Dingle,99,PH,1563894204,88,11,122.67,75.51,3.29
88,Cape Town,75,ZA,1563894144,67,-33.93,18.42,57.99,24.16
89,Port Alfred,0,ZA,1563894205,40,-33.59,26.89,68,1.99
90,Bundaberg,0,AU,1563894205,87,-24.87,152.35,57.99,1.14
91,Kieta,72,PG,1563894205,82,-6.22,155.63,78.21,7.02
92,Tambun,40,ID,1563894205,61,-6.26,107.07,80.6,4.7
93,Jamestown,97,AU,1563893988,94,-33.21,138.6,51.57,10.09
95,Scarborough,20,GB,1563894206,51,54.28,-0.41,86,11.41
96,Pakhtakoron,0,UZ,1563894206,13,40.16,68.75,91.35,10.65
97,Ullal,75,IN,1563894206,94,12.8,74.85,75.2,4.7
98,Tuatapere,0,NZ,1563894206,98,-46.13,167.69,39.99,8.99
99,Cabo San Lucas,75,MX,1563894089,74,22.89,-109.91,82.99,2.91
101,Orchard Homes,1,US,1563894207,77,46.86,-114.05,64,2.37
102,Georgetown,40,GY,1563894207,79,6.8,-58.16,84.2,6.93
103,Kisangani,74,CD,1563894207,63,0.52,25.21,82.71,1.66
104,Bluff,0,AU,1563894208,64,-23.58,149.07,58.95,6.22
105,Manokwari,95,ID,1563894027,85,-0.87,134.08,72.27,2.19
107,Hofn,100,IS,1563894208,96,64.25,-15.21,41.49,2.39
108,Kavieng,99,PG,1563894208,75,-2.57,150.8,83.61,20.62
109,Leningradskiy,100,RU,1563894208,83,69.38,178.42,38.97,5.64
111,Acheng,75,CN,1563894209,94,45.55,126.95,69.8,6.71
112,Tome,100,JP,1563894209,98,38.69,141.2,65.25,2.75
113,Chicama,90,PE,1563894209,82,-7.84,-79.15,64.4,8.05
114,Abnub,0,EG,1563894209,24,27.27,31.15,100.4,14.99
115,Cabedelo,75,BR,1563894210,100,-6.97,-34.84,77,14.99
116,Bridlington,20,GB,1563894210,45,54.08,-0.19,86,11.41
117,Pathein,100,MM,1563894210,87,16.78,94.73,80.73,5.86
118,Clyde River,20,CA,1563894211,63,70.47,-68.59,60.8,10.29
119,Lebu,75,ET,1563894211,63,8.96,38.73,64.4,9.17
120,Avarua,2,CK,1563894075,69,-21.21,-159.78,73.4,13.87
121,Tabuk,100,PH,1563894211,97,17.41,121.44,66.51,0.6
122,Mirnyy,83,RU,1563894211,85,56.57,36.46,68.31,6.76
123,Kijang,40,KR,1563894212,83,35.24,129.21,78.8,12.75
124,Bonnyville,20,CA,1563894185,72,54.27,-110.74,68,6.93
125,Arteaga,40,MX,1563894212,46,25.45,-100.85,71.01,6.6
126,Tubmanburg,100,LR,1563894213,93,6.87,-10.82,72.99,6.13
127,Norman Wells,20,CA,1563894213,82,65.28,-126.83,60.8,6.93
129,Fayaoue,0,NC,1563894213,66,-20.65,166.53,69.39,18.1
130,Hithadhoo,99,MV,1563894213,74,-0.6,73.08,83.43,6.96
131,Viransehir,0,TR,1563894214,12,37.24,39.76,97.29,13.53
132,La Asuncion,0,AR,1563894214,40,-26.05,-65.39,42.57,5.7
133,Praia,20,BR,1563894131,49,-20.25,-43.81,71.6,8.05
134,La Ronge,20,CA,1563894214,68,55.1,-105.3,69.8,5.82
135,Carnarvon,67,ZA,1563894214,64,-30.97,22.13,48.33,42.5
136,Airai,0,TL,1563894215,66,-8.93,125.41,65.61,6.13
137,High Level,90,CA,1563894027,72,58.52,-117.13,66.2,1.72
138,Sungaipenuh,100,ID,1563894215,94,-2.08,101.38,74.43,2.15
139,Port Augusta,75,AU,1563894215,76,-32.49,137.76,55.4,4.7
140,Iquique,90,CL,1563894215,63,-20.22,-70.14,62.6,13.87
141,Gillette,1,US,1563894003,72,44.29,-105.5,70,12.75
142,Tiksi,100,RU,1563894216,83,71.64,128.87,41.31,11.65
143,Catio,87,GW,1563894216,79,11.28,-15.25,80.55,12.73
144,Mugumu,34,TZ,1563894216,46,-1.84,34.67,76.95,4.41
145,Inuvik,75,CA,1563894216,82,68.36,-133.71,59,11.41
146,Talnakh,0,RU,1563894217,77,69.49,88.39,60.8,15.66
147,Poum,40,MK,1563894217,30,41.28,20.71,84.2,9.17
148,Eureka,90,US,1563894107,93,40.8,-124.16,57.99,5.82
149,Gigmoto,68,PH,1563894217,73,13.78,124.39,83.79,3.15
150,Payo,41,ID,1563894217,87,-3.75,103.64,65.97,3.53
151,Namatanai,100,PG,1563894218,85,-3.66,152.44,78.21,20.04
152,Sitka,0,US,1563894218,62,37.17,-99.65,70,5.99
153,Grindavik,75,IS,1563894218,76,63.84,-22.43,57.2,9.17
154,Geraldton,20,CA,1563894218,59,49.72,-86.95,64.4,5.82
155,Buta,44,CD,1563894219,56,2.79,24.73,84.33,2.84
156,Ayan,71,IR,1563894219,19,38.23,44.7,80.01,13.13
157,Ingham,38,AU,1563894219,98,-18.65,146.16,59.85,1.63
159,Kananga,2,CD,1563894220,12,-5.9,22.41,94.23,2.21
160,Nikolskoye,20,RU,1563894220,36,59.7,30.79,79,6.71
162,Skelleftea,33,SE,1563894220,50,64.75,20.95,79,6.93
163,Lazaro Cardenas,75,MX,1563894220,49,28.39,-105.62,77,5.82
164,Ostrovnoy,100,RU,1563894221,55,68.05,39.51,54.45,6.69
165,Arraial do Cabo,0,BR,1563894221,69,-22.97,-42.02,77,13.87
166,Kondrovo,40,RU,1563894221,68,54.81,35.93,69.8,8.95
167,Half Moon Bay,40,US,1563894136,77,37.46,-122.43,66,5.21
168,Sobolevo,97,RU,1563894221,84,54.43,31.9,67.23,5.1
169,Umm Lajj,0,SA,1563894222,74,25.02,37.27,85.59,3.18
170,Bam,2,IR,1563894035,13,29.11,58.36,79.47,9.1
171,Qaanaaq,100,GL,1563894222,64,77.48,-69.36,41.49,9.1
172,Bonthe,100,SL,1563894222,95,7.53,-12.5,73.89,16.46
173,Zhanaozen,32,KZ,1563894223,21,43.35,52.85,96.57,16.46
174,Bressuire,0,FR,1563894223,23,46.84,-0.49,105.01,12.75
175,Beringovskiy,79,RU,1563894223,80,63.05,179.32,40.23,1.72
176,Aberdeen,90,US,1563894223,93,46.98,-123.82,63,3.36
177,Hornepayne,58,CA,1563894223,37,49.22,-84.78,64.89,7.74
178,Yulara,0,AU,1563894224,28,-25.24,130.99,55.4,8.05
179,Ningxiang,0,CN,1563894224,74,28.28,112.55,86,4.47
180,Yumen,10,CN,1563894224,24,40.29,97.04,77.49,8.03
181,Torbay,75,CA,1563894075,82,47.66,-52.73,72,5.82
182,Saint-Joseph,0,FR,1563894224,49,43.56,6.97,95,4.7
183,Mar del Plata,0,AR,1563894225,56,-46.43,-67.52,42.75,18.25
184,Dhidhdhoo,72,MV,1563894225,77,6.88,73.1,83.25,14.27
185,Sechura,65,PE,1563894091,87,-5.56,-80.82,63.99,8.34
186,Nome,90,US,1563894225,94,30.04,-94.42,80.6,8.05
187,Lethem,1,GY,1563894192,55,3.38,-59.8,87.39,8.7
188,Adrar,0,DZ,1563894226,9,27.87,-0.29,111.2,18.34
189,Oktyabrskiy,75,RU,1563894226,82,55.61,37.97,68,8.95
190,Calama,0,CL,1563894226,15,-22.46,-68.93,59,4.7
191,Chuy,100,UY,1563894217,79,-33.69,-53.46,56.97,13.53
192,La Esperanza,75,CO,1563894226,88,7.64,-73.33,71.6,5.82
193,Shenjiamen,100,CN,1563894227,82,29.96,122.3,80.73,15.88
194,Tual,99,ID,1563894227,84,-5.67,132.75,77.13,16.35
195,Panubigan,100,PH,1563894227,90,7.13,122.25,74.25,1.14
196,Naze,100,NG,1563894227,86,5.43,7.07,77.67,7.36
198,Sulangan,86,PH,1563894228,75,11.14,123.72,82.53,8.05
199,Charters Towers,78,AU,1563894228,72,-20.07,146.27,61.83,9.24
200,Thompson,40,CA,1563894228,68,55.74,-97.86,68,4.7
201,Nurota,0,UZ,1563894228,9,40.56,65.69,100.4,18.34
202,Sioux Lookout,75,CA,1563894228,82,50.1,-91.92,66.2,3.36
203,Harwich,75,US,1563894229,88,41.69,-70.08,75.2,17.22
204,Abu Samrah,0,SY,1563894229,22,35.3,37.18,94.23,18.86
205,Ziway,41,ET,1563894229,62,7.93,38.72,72.09,5.39
207,Tautira,96,PF,1563894230,83,-17.73,-149.15,77,13.87
208,Dawson Creek,40,CA,1563894230,93,55.76,-120.23,63,4.7
209,Kasane,0,BW,1563894230,22,-17.8,25.16,78.8,6.93
210,Ilulissat,40,GL,1563894230,43,69.22,-51.1,55.4,3.36
211,Virginia Beach,90,US,1563893618,74,36.85,-75.98,84.2,6.93
212,Lorengau,100,PG,1563894231,84,-2.02,147.27,79.83,8.03
213,Fare,96,PF,1563894231,82,-16.7,-151.02,78.93,15.05
214,Snyatyn,0,UA,1563894231,56,48.45,25.57,71.91,11.74
215,Nakusp,0,CA,1563894231,95,50.24,-117.8,60.01,1.32
216,Victoria,75,BN,1563894195,94,5.28,115.24,78.8,8.05
217,Belyy Yar,38,RU,1563894232,77,53.6,91.39,64.4,4.47
218,Huanta,75,PE,1563894232,76,-12.94,-74.25,53.6,4.7
219,Goderich,0,CA,1563894232,81,43.74,-81.71,71.01,10
220,San Juan de Uraba,100,CO,1563894156,91,8.76,-76.53,78.03,20.83
221,Nikki,61,BJ,1563894233,69,9.94,3.21,81.81,6.46
222,Camabatela,18,AO,1563894233,24,-8.19,15.37,89.19,5.21
223,Muromtsevo,39,RU,1563894233,78,56.37,75.24,63.27,3.15
224,Lagoa,20,PT,1563894189,74,37.14,-8.45,86,6.93
226,Hermanus,67,ZA,1563894233,80,-34.42,19.24,55,4
227,Paamiut,100,GL,1563894234,97,61.99,-49.67,39.15,3.27
228,Comodoro Rivadavia,0,AR,1563894234,49,-45.87,-67.48,48.2,13.87
229,Puerto Maldonado,20,PE,1563894234,334,-12.59,-69.19,33.8,3.36
230,Ribeira Grande,75,PT,1563894235,83,38.52,-28.7,75.2,12.75
231,Tabas,0,IR,1563894129,6,33.6,56.92,105.8,9.17
232,Saint-Augustin,20,CA,1563894235,77,45.63,-73.98,75.99,4.7
234,Santa Isabel do Rio Negro,12,BR,1563894235,75,-0.41,-65.02,83.43,3.87
235,Denpasar,19,ID,1563894130,90,-8.65,115.22,67.59,4.23
236,Georgiyevka,100,RU,1563894236,80,52.25,40.45,69.93,4.81
237,Kurchum,23,KZ,1563894236,62,48.57,83.65,66.15,8.66
238,Iqaluit,40,CA,1563894236,93,63.75,-68.52,41,3.36
240,Marienburg,0,DE,1563894237,33,52.12,9.98,91,5.82
241,Nabire,100,ID,1563894237,99,-3.36,135.5,68.49,1.95
242,Tessalit,23,ML,1563894237,15,20.2,1.01,105.93,8.63
243,Alta Floresta,0,BR,1563894237,38,-9.87,-56.08,89.6,10.29
244,Saint-Pierre,0,FR,1563894238,16,48.95,4.24,100.99,8.05
245,Baherden,0,TM,1563894238,10,38.44,57.43,90.81,9.57
246,Katsuura,75,JP,1563894238,83,33.93,134.5,78.8,2.24
247,Sao Joao da Barra,75,BR,1563893995,61,-21.64,-41.05,78.8,13.87
248,Vila Franca do Campo,75,PT,1563894238,94,37.72,-25.43,73.4,12.75
249,Cidreira,100,BR,1563894238,81,-30.17,-50.22,70.11,2.59
250,Pundaguitan,100,PH,1563894239,77,6.37,126.17,81.63,7.65
252,Phan Thiet,85,VN,1563894239,81,10.93,108.1,77.49,5.95
253,Srednekolymsk,100,RU,1563894239,74,67.46,153.71,39.51,10.09
254,Karakol,0,KG,1563894014,61,42.49,78.39,67.23,1.21
255,Concepcion,100,CO,1563894240,87,9.56,-73.66,79.47,8.16
257,Belmonte,37,PT,1563894240,48,40.36,-7.35,100,7
258,Ancud,40,CL,1563894240,100,-41.87,-73.83,37.4,1.61
259,Champerico,40,MX,1563894240,88,16.38,-93.6,73.4,3.4
260,San Juan del Sur,75,NI,1563894241,74,11.25,-85.87,84.2,6.93
261,Frontignan,0,FR,1563894241,55,43.45,3.75,93.2,8.05
262,Humaita,75,AR,1563894241,36,-24.93,-65.37,51.8,5.82
263,Nantai,98,CN,1563894241,50,36.41,105.98,65.25,7.9
264,Hasaki,40,JP,1563894242,94,35.73,140.83,75.2,4.7
265,Zamora,20,ES,1563894119,23,41.51,-5.74,95,9.17
266,Yarim,92,YE,1563894242,69,14.3,44.38,72.63,7.38
267,Carballo,40,ES,1563894242,78,43.21,-8.69,80.6,13.87
268,Vaitape,94,PF,1563894242,84,-16.52,-151.75,79.47,14.27
269,Moranbah,0,AU,1563894243,76,-22,148.04,56.43,3.74
270,Cassia,1,US,1563894243,66,28.89,-81.47,87.01,4.7
272,Aklavik,75,CA,1563894243,87,68.22,-135.01,59,4.7
273,Vanimo,99,PG,1563894244,75,-2.67,141.3,81.81,4.83
275,Vite,20,ES,1563894244,57,42.89,-8.54,81,8.05
276,Grand Gaube,75,MU,1563894244,78,-20.01,57.66,71.6,16.11
277,Port-Gentil,20,GA,1563894245,69,-0.72,8.78,82.4,16.11
278,Vila Velha,75,BR,1563894245,58,-3.71,-38.6,84.2,18.34
279,Constitucion,20,MX,1563894245,87,23.99,-104.67,66,14
280,Fairbanks,1,US,1563894108,87,64.84,-147.72,63,1.48
281,Faanui,94,PF,1563894245,84,-16.48,-151.75,79.47,14.27
282,San Policarpo,100,PH,1563894246,84,12.18,125.51,80.73,4.94
283,San Patricio,100,PY,1563894246,94,-26.98,-56.83,68.67,2.8
284,Broome,20,GB,1563894246,42,52.47,1.45,93,13.87
285,Minab,100,IR,1563894246,44,27.15,57.07,96.8,6.93
286,Karatsu,93,JP,1563894247,83,33.45,129.97,80.6,8.05
287,Pinheiro Machado,100,BR,1563894247,6,-31.58,-53.38,54,5.99
288,Butaritari,100,KI,1563894247,72,3.07,172.79,84.33,8.1
290,Timbuktu,66,ML,1563894247,28,16.77,-3.01,101.07,5.23
291,Pershotravneve,100,UA,1563894248,87,51.38,28.88,60.57,7.05
292,Mongomo,75,GA,1563894248,65,1.63,11.31,80.6,3.2
293,Okhotsk,0,RU,1563894248,78,59.36,143.24,45.99,3.27
294,Nioro,32,GM,1563894248,29,13.79,-15.05,99.63,8.08
295,Nuuk,90,GL,1563894249,93,64.17,-51.74,42.8,9.17
296,Faranah,100,GN,1563894249,80,10.04,-10.74,78.39,10.58
297,Puerto del Rosario,0,ES,1563894249,69,28.5,-13.86,80.6,17.22
298,Muisne,90,EC,1563894249,88,0.61,-80.02,75.2,6.93
299,Sherbakul,96,RU,1563894250,77,54.63,72.39,68,4.47
300,Dakoro,77,NE,1563894250,40,14.51,6.76,91.35,2.3
301,Maningrida,12,AU,1563894250,55,-12.05,134.23,63.63,8.66
302,Innisfail,97,AU,1563894250,91,-17.52,146.03,66.51,5.82
303,Bambous Virieux,75,MU,1563894251,78,-20.34,57.76,71.6,16.11
304,Fukue,75,JP,1563894251,88,35.03,136.69,79,5.82
305,Pinega,91,RU,1563894251,84,64.7,43.39,61.47,4.99
306,Palmer,20,AU,1563894115,87,-34.85,139.16,53.6,3.36
307,Surt,0,LY,1563894251,69,31.21,16.59,80.01,13.76
308,Merauke,11,ID,1563894252,84,-8.49,140.4,77.67,23.35
310,Sidney,1,US,1563894127,56,40.28,-84.16,73.99,5.82
311,Luderitz,91,NA,1563894252,72,-26.65,15.16,64.4,14.99
315,Brae,75,GB,1563894188,82,60.4,-1.35,68,11.41
316,Arlit,0,NE,1563894253,19,18.74,7.39,103.59,4.54
317,Vardo,75,US,1563894253,83,39.62,-77.74,73,5.82
318,Strathpeffer,20,GB,1563894254,57,57.59,-4.54,78.8,11.41
319,Pouembout,0,NC,1563894254,69,-21.12,164.9,67.05,15.23
320,Javanrud,75,IR,1563894254,14,34.8,46.49,96.8,4.7
321,Pangnirtung,90,CA,1563894254,100,66.15,-65.72,42.8,5.82
322,Fairlie,1,US,1563894254,54,33.31,-95.96,82.99,8.05
323,Port Lincoln,0,AU,1563894255,75,-34.72,135.86,58.05,16.49
324,San Cristobal,100,HN,1563894255,53,14.68,-86.92,79.65,2.93
325,Kavaratti,100,IN,1563894255,76,10.57,72.64,82.53,20.07
326,Ararat,77,AM,1563894255,28,39.85,44.7,95,16.11
328,Souillac,0,FR,1563894256,22,45.6,-0.6,108,8.05
329,Caranavi,87,BO,1563894256,93,-15.83,-67.57,55.17,1.79
331,Saint George,40,GR,1563894003,40,39.45,22.34,91.99,11.41
333,Loa Janan,66,ID,1563894257,90,-0.58,117.09,73.35,3.2
334,Rapid Valley,1,US,1563894257,73,44.06,-103.15,77,3.36
335,Dongsheng,96,CN,1563894257,86,29.72,112.52,82.89,8.19
336,Yuzha,100,RU,1563894257,88,56.58,42.01,67.95,4.97
337,Ponnani,90,IN,1563894258,88,10.77,75.93,80.01,13.89
338,Batavia,75,US,1563894258,53,43,-78.19,78.01,5.82
339,Milkovo,40,BG,1563894258,69,41.53,24.68,82.4,6.93
340,Toul,0,FR,1563894258,23,48.68,5.89,99,8.05
341,Dikson,11,RU,1563894259,90,73.51,80.55,35.37,4.81
342,Meulaboh,80,ID,1563894259,63,4.14,96.13,85.23,1.19
343,Ust-Ilimsk,100,RU,1563894259,47,57.96,102.73,65.97,1.66
344,Thunder Bay,40,CA,1563894259,77,48.41,-89.26,73.99,6.93
345,Westport,75,US,1563894027,88,41.14,-73.36,70,11.41
346,Pimentel,23,BR,1563894260,48,-3.7,-45.5,87.03,7
347,Puerto Suarez,19,BO,1563894260,51,-18.96,-57.8,86,5.82
348,Noumea,75,NC,1563894260,82,-22.28,166.46,57.2,13.29
349,San Carlos de Bariloche,20,AR,1563894260,79,-41.13,-71.31,23,4.7
350,Ponta do Sol,83,BR,1563894261,56,-20.63,-46,69.75,6.78
352,Maues,14,BR,1563894261,44,-3.38,-57.72,91.17,5.86
353,Hazorasp,0,UZ,1563894261,30,41.32,61.08,96.8,9.17
355,Manaquiri,20,BR,1563894261,66,-3.43,-60.46,87.8,8.05
356,Totness,1,US,1563894262,70,33.74,-80.8,90,8.05
358,Komsomolskiy,100,RU,1563894262,59,67.55,63.78,61.65,12.75
359,Udachnyy,39,RU,1563894262,28,66.42,112.4,73.4,2.24
360,Beyneu,52,KZ,1563894262,22,45.32,55.19,93.87,18.16
361,Valdemarpils,0,LV,1563894263,77,57.37,22.59,68,10.29
362,Petropavlovka,100,RU,1563894263,99,50.61,105.32,53.37,5.14
363,Tarko-Sale,37,RU,1563894263,73,64.92,77.78,66.99,1.01
364,Vao,0,EE,1563894263,47,59.1,26.19,72.99,5.12
365,Bhadrapur,75,NP,1563894264,88,26.55,88.09,78.8,5.82
367,Kaitangata,3,NZ,1563894264,87,-46.28,169.85,44.01,1.99
368,Ahipara,0,NZ,1563894264,100,-35.17,173.16,48,12.12
369,Mahebourg,75,MU,1563894264,78,-20.41,57.7,71.6,16.11
370,Xining,91,CN,1563894045,86,36.62,101.77,47.43,4.43
372,Sur,0,OM,1563894265,70,22.57,59.53,82.17,10.85
373,Jijiang,0,CN,1563894265,70,29.8,120.61,89.6,4.47
374,Antalaha,56,MG,1563894265,91,-14.9,50.28,59.85,3.15
375,Albanel,75,CA,1563894051,63,48.88,-72.44,62.6,3.36
376,Kholodnyy,0,RU,1563894266,62,62.72,147.95,35.37,2.53
377,Kloulklubed,75,PW,1563894266,94,7.04,134.26,75.2,8.16
378,Bayangol,100,MN,1563894266,98,48.91,106.09,58.77,3.04
379,Kudahuvadhoo,37,MV,1563894266,76,2.67,72.89,83.61,11.05
380,Olinda,40,AU,1563894266,75,-37.84,145.39,48,5.82
381,Tilichiki,94,RU,1563894267,95,60.47,166.1,45.81,1.86
382,Kutum,0,SD,1563894267,25,14.2,24.66,89.91,9.19
383,Atar,0,MR,1563894242,12,20.52,-13.05,109.53,8.39
384,Tiruchchendur,100,IN,1563894267,60,8.48,78.12,84.51,8.55
385,Linkuva,75,LT,1563894267,68,56.09,23.97,69.8,10.29
386,Saldanha,13,PT,1563894268,24,41.42,-6.55,94.59,6.82
387,Nizhniy Ufaley,96,RU,1563894268,94,55.91,59.99,61.83,5.7
388,Narsaq,75,GL,1563894268,81,60.91,-46.05,50,4.7
389,Slyudyanka,100,RU,1563894268,40,51.66,103.72,61,92.01
390,Sakaide,73,JP,1563894268,90,34.31,133.87,78.01,3.89
391,Swellendam,72,ZA,1563894269,62,-34.02,20.44,59,12.75
392,Piranshahr,8,IR,1563894269,22,36.7,45.14,80.37,8.34
393,Ginir,61,ET,1563894269,71,7.14,40.71,69.57,1.25
394,Khujner,72,IN,1563894269,42,23.78,76.6,94.05,5.75
395,Nouadhibou,0,MR,1563894252,57,20.93,-17.03,80.6,14.99
396,Tadine,43,NC,1563894270,68,-21.55,167.88,68.67,16.6
397,Tucurui,0,BR,1563894190,38,-3.77,-49.67,89.91,7.74
398,Howard Springs,0,AU,1563894270,93,-12.5,131.05,69.01,3.71
399,Gamba,89,CN,1563894271,65,28.28,88.52,48.15,11.23
400,Buerarema,100,BR,1563894271,78,-14.96,-39.3,75.15,7.34
401,San Juan Bautista,100,PY,1563894271,90,-26.67,-57.15,65.25,5.37
402,Sampit,67,ID,1563894271,89,-2.54,112.95,72.27,3.22
403,Cherskiy,100,RU,1563894272,87,68.75,161.3,38.25,5.35
404,San Jose de Buan,100,PH,1563894272,94,12.05,125.03,73.35,0.74
406,Zapolyarnyy,0,RU,1563894272,36,69.43,30.82,80.6,2.24
407,Sibolga,100,ID,1563894053,70,1.74,98.78,83.43,2.51
408,Bilma,2,NE,1563894272,20,18.69,12.92,101.97,2.84
409,Awbari,0,LY,1563894273,10,26.59,12.77,98.37,11.03
410,Mugan,100,CN,1563894273,34,35.94,101.38,55.35,4.94
411,Jacareacanga,0,BR,1563894273,58,-6.22,-57.76,87.8,3.36
412,Padang,100,ID,1563894273,75,-0.92,100.36,82.35,3.49
413,Souris,90,CA,1563894274,93,46.36,-62.25,66.99,6.93
414,Asmara,53,ER,1563894274,68,15.34,38.93,75.87,5.23
415,Bosaso,100,SO,1563894274,70,11.28,49.18,89.19,8.46
416,Rawson,0,AR,1563894275,48,-43.3,-65.11,45.81,19.77
417,Nanortalik,100,GL,1563894275,93,60.14,-45.24,39.33,5.84
418,Strezhevoy,0,RU,1563894275,68,60.73,77.6,68,2.24
419,Rochegda,100,RU,1563894275,98,62.67,43.41,55.17,4.36
